id,job_count,preempted_job_count,start_time,finish_time,real_duration,jobs_total_duration,job_max_duration,preempted_jobs_total_duration,operation_type,operation_state,in_timeframe
1e54be17-124b9fb7-3f403e8-72febca9,1,0,120.667908s,131.933000s,13.173304s,10.661999s,10.662000s,0.000000s,Sort,completed,1
c6581e6f-a5597b4e-3f403e8-173add17,4,0,118.771015s,133.802000s,17.239719s,53.220999s,14.524000s,0.000000s,Map,completed,1
b9e071a6-183f11aa-3f403e8-bd99b21d,1,0,129.918665s,135.507000s,7.847244s,5.211000s,5.211000s,0.000000s,Map,completed,1
5ccf8c2e-af2959f9-3f403e8-9435032d,92,1,63.415448s,135.915000s,63.277693s,3509.715942s,60.333000s,21.629999s,Map,completed,1
60d76dfd-d7699445-3f403e8-ffeda64e,1,0,129.916776s,136.165000s,8.385479s,5.865000s,5.865000s,0.000000s,Map,completed,1
8f62bf89-d0231726-3f403e8-2ab5e2c4,37,0,100.678578s,136.486000s,42.770335s,279.680983s,26.204000s,0.000000s,MapReduce,completed,1
b98344da-4936103b-3f403e8-751fb4bd,1008,39,21.654955s,139.491000s,569.825158s,25539.933452s,40.614000s,343.341978s,Map,completed,1
9120e6a9-d187f02a-3f403e8-7d2b0a1b,3,0,115.019537s,139.496000s,26.726705s,64.022998s,24.239000s,0.000000s,Map,completed,1
da6fe9f5-153122b-3f403e8-5c53741c,272,0,129.964126s,139.778000s,22.588659s,1126.794855s,9.414000s,0.000000s,Map,completed,1
dc076fe9-9aee49a3-3f403e8-b6c72ab9,1,0,131.715937s,139.878000s,10.488064s,7.567999s,7.568000s,0.000000s,Map,completed,1
cc6196b0-9be83c37-3f403e8-e8f7e4f8,991,0,0.000000s,141.658000s,554.428036s,26334.442496s,68.417000s,0.000000s,Map,completed,0
713b536-87293edd-3f403e8-df4d4ad2,1,0,139.594836s,143.084000s,5.296953s,2.755999s,2.756000s,0.000000s,Sort,completed,1
8521b294-5d5a3b61-3f403e8-91f3dad4,708,0,0.000000s,144.619000s,426.664791s,20804.611628s,67.429000s,0.000000s,Map,completed,0
c2967334-76ee679e-3f403e8-e208a9e7,1,0,140.146995s,147.729000s,9.224476s,7.387000s,7.387000s,0.000000s,Sort,completed,1
f4bab83c-e66727d6-3f403e8-225db969,92,0,128.756107s,148.099000s,28.286054s,479.959961s,9.978000s,0.000000s,MapReduce,completed,1
7f2ed9bb-7d1e764e-3f403e8-eae03849,100,0,126.702340s,150.864000s,33.648329s,763.417943s,12.788000s,0.000000s,MapReduce,completed,1
ac4b9419-fbb667f9-3f403e8-85df3d9c,1,0,142.547398s,150.876000s,9.920410s,7.525999s,7.526000s,0.000000s,Vanilla,completed,1
